epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584096713245,2020-03-13T10:51:53.245,0.000,-0.031,-0.042,0.953
1584096713264,2020-03-13T10:51:53.264,0.019,-0.039,-0.042,0.962
1584096713285,2020-03-13T10:51:53.285,0.040,-0.050,-0.042,0.957
1584096713305,2020-03-13T10:51:53.305,0.060,-0.046,-0.045,0.954
1584096713325,2020-03-13T10:51:53.325,0.080,-0.040,-0.043,0.955
1584096713345,2020-03-13T10:51:53.345,0.100,-0.041,-0.041,0.957
1584096713364,2020-03-13T10:51:53.364,0.119,-0.035,-0.043,0.961
1584096713385,2020-03-13T10:51:53.385,0.140,-0.030,-0.043,0.959
1584096713404,2020-03-13T10:51:53.404,0.159,-0.032,-0.044,0.961
1584096713424,2020-03-13T10:51:53.424,0.179,-0.031,-0.044,0.960
1584096713445,2020-03-13T10:51:53.445,0.200,-0.033,-0.044,0.957
1584096713464,2020-03-13T10:51:53.464,0.219,-0.037,-0.045,0.955
1584096713484,2020-03-13T10:51:53.484,0.239,-0.035,-0.045,0.958
1584096713503,2020-03-13T10:51:53.503,0.258,-0.035,-0.047,0.961
1584096713524,2020-03-13T10:51:53.524,0.279,-0.031,-0.047,0.958
1584096713543,2020-03-13T10:51:53.543,0.298,-0.025,-0.047,0.958
1584096713563,2020-03-13T10:51:53.563,0.318,-0.029,-0.049,0.962
1584096713584,2020-03-13T10:51:53.584,0.339,-0.032,-0.047,0.960
1584096713603,2020-03-13T10:51:53.603,0.358,-0.027,-0.048,0.959
1584096713623,2020-03-13T10:51:53.623,0.378,-0.030,-0.047,0.961
1584096713642,2020-03-13T10:51:53.642,0.397,-0.033,-0.047,0.962
1584096713663,2020-03-13T10:51:53.663,0.418,-0.025,-0.048,0.958
1584096713682,2020-03-13T10:51:53.682,0.437,-0.017,-0.048,0.958
1584096713702,2020-03-13T10:51:53.702,0.457,-0.020,-0.047,0.964
1584096713723,2020-03-13T10:51:53.723,0.478,-0.031,-0.047,0.960
1584096713742,2020-03-13T10:51:53.742,0.497,-0.033,-0.047,0.957
1584096713762,2020-03-13T10:51:53.762,0.517,-0.028,-0.046,0.958
1584096713782,2020-03-13T10:51:53.782,0.537,-0.030,-0.048,0.963
1584096713802,2020-03-13T10:51:53.802,0.557,-0.031,-0.047,0.960
1584096713821,2020-03-13T10:51:53.821,0.576,-0.026,-0.046,0.956
1584096713842,2020-03-13T10:51:53.842,0.597,-0.022,-0.048,0.961
1584096713861,2020-03-13T10:51:53.861,0.616,-0.027,-0.047,0.958
1584096713881,2020-03-13T10:51:53.881,0.636,-0.031,-0.046,0.958
1584096713902,2020-03-13T10:51:53.902,0.657,-0.025,-0.048,0.958
1584096713921,2020-03-13T10:51:53.921,0.676,-0.018,-0.047,0.961
1584096713941,2020-03-13T10:51:53.941,0.696,-0.021,-0.047,0.966
1584096713960,2020-03-13T10:51:53.960,0.715,-0.029,-0.047,0.958
1584096713981,2020-03-13T10:51:53.981,0.736,-0.031,-0.049,0.958
1584096714000,2020-03-13T10:51:54.000,0.755,-0.028,-0.048,0.959
1584096714020,2020-03-13T10:51:54.020,0.775,-0.023,-0.047,0.963
1584096714041,2020-03-13T10:51:54.041,0.796,-0.028,-0.047,0.960
1584096714060,2020-03-13T10:51:54.060,0.815,-0.032,-0.048,0.958
1584096714080,2020-03-13T10:51:54.080,0.835,-0.033,-0.049,0.961
1584096714099,2020-03-13T10:51:54.099,0.854,-0.032,-0.047,0.962
1584096714120,2020-03-13T10:51:54.120,0.875,-0.029,-0.045,0.959
1584096714139,2020-03-13T10:51:54.139,0.894,-0.034,-0.046,0.960
1584096714159,2020-03-13T10:51:54.159,0.914,-0.034,-0.050,0.959
1584096714180,2020-03-13T10:51:54.180,0.935,-0.031,-0.050,0.958
1584096714199,2020-03-13T10:51:54.199,0.954,-0.029,-0.048,0.961
1584096714220,2020-03-13T10:51:54.220,0.975,-0.026,-0.049,0.961
1584096714239,2020-03-13T10:51:54.239,0.994,-0.021,-0.048,0.960
1584096714259,2020-03-13T10:51:54.259,1.014,-0.023,-0.046,0.962
1584096714278,2020-03-13T10:51:54.278,1.033,-0.029,-0.047,0.962
1584096714299,2020-03-13T10:51:54.299,1.054,-0.041,-0.049,0.959
1584096714318,2020-03-13T10:51:54.318,1.073,-0.042,-0.047,0.955
1584096714338,2020-03-13T10:51:54.338,1.093,-0.033,-0.042,0.959
1584096714359,2020-03-13T10:51:54.359,1.114,-0.024,-0.042,0.962
1584096714378,2020-03-13T10:51:54.378,1.133,-0.031,-0.044,0.964
1584096714398,2020-03-13T10:51:54.398,1.153,-0.040,-0.047,0.964
1584096714417,2020-03-13T10:51:54.417,1.172,-0.047,-0.045,0.958
1584096714438,2020-03-13T10:51:54.438,1.193,-0.049,-0.044,0.959
1584096714457,2020-03-13T10:51:54.457,1.212,-0.078,-0.045,0.948
1584096714477,2020-03-13T10:51:54.477,1.232,-0.071,-0.045,0.948
1584096714498,2020-03-13T10:51:54.498,1.253,-0.034,-0.044,0.963
1584096714517,2020-03-13T10:51:54.517,1.272,-0.021,-0.046,0.966
1584096714537,2020-03-13T10:51:54.537,1.292,-0.035,-0.047,0.958
1584096714556,2020-03-13T10:51:54.556,1.311,-0.039,-0.047,0.955
1584096714577,2020-03-13T10:51:54.577,1.332,-0.030,-0.049,0.959
1584096714596,2020-03-13T10:51:54.596,1.351,-0.012,-0.050,0.964
1584096714616,2020-03-13T10:51:54.616,1.371,-0.002,-0.049,0.968
1584096714637,2020-03-13T10:51:54.637,1.392,-0.019,-0.047,0.962
1584096714656,2020-03-13T10:51:54.656,1.411,-0.035,-0.046,0.959
1584096714677,2020-03-13T10:51:54.677,1.432,-0.029,-0.047,0.961
1584096714696,2020-03-13T10:51:54.696,1.451,-0.027,-0.047,0.961
1584096714716,2020-03-13T10:51:54.716,1.471,-0.032,-0.045,0.961
