epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584015360994,2020-03-12T12:16:00.994,0.000,-0.160,-0.057,0.942
1584015361013,2020-03-12T12:16:01.013,0.019,-0.157,-0.057,0.950
1584015361034,2020-03-12T12:16:01.034,0.040,-0.159,-0.057,0.945
1584015361054,2020-03-12T12:16:01.054,0.060,-0.164,-0.058,0.947
1584015361073,2020-03-12T12:16:01.073,0.079,-0.167,-0.056,0.945
1584015361094,2020-03-12T12:16:01.094,0.100,-0.165,-0.054,0.943
1584015361113,2020-03-12T12:16:01.113,0.119,-0.164,-0.055,0.943
1584015361133,2020-03-12T12:16:01.133,0.139,-0.158,-0.056,0.946
1584015361152,2020-03-12T12:16:01.152,0.158,-0.158,-0.055,0.950
1584015361173,2020-03-12T12:16:01.173,0.179,-0.164,-0.054,0.943
1584015361192,2020-03-12T12:16:01.192,0.198,-0.167,-0.054,0.943
1584015361212,2020-03-12T12:16:01.212,0.218,-0.163,-0.056,0.946
1584015361233,2020-03-12T12:16:01.233,0.239,-0.157,-0.058,0.946
1584015361252,2020-03-12T12:16:01.252,0.258,-0.149,-0.057,0.947
1584015361272,2020-03-12T12:16:01.272,0.278,-0.149,-0.057,0.947
1584015361292,2020-03-12T12:16:01.292,0.298,-0.155,-0.059,0.947
1584015361312,2020-03-12T12:16:01.312,0.318,-0.150,-0.059,0.948
1584015361331,2020-03-12T12:16:01.331,0.337,-0.146,-0.057,0.949
1584015361352,2020-03-12T12:16:01.352,0.358,-0.152,-0.059,0.947
1584015361372,2020-03-12T12:16:01.372,0.378,-0.163,-0.058,0.945
1584015361391,2020-03-12T12:16:01.391,0.397,-0.158,-0.057,0.946
1584015361412,2020-03-12T12:16:01.412,0.418,-0.151,-0.057,0.943
1584015361431,2020-03-12T12:16:01.431,0.437,-0.153,-0.057,0.947
1584015361451,2020-03-12T12:16:01.451,0.457,-0.158,-0.057,0.953
1584015361470,2020-03-12T12:16:01.470,0.476,-0.163,-0.055,0.944
1584015361491,2020-03-12T12:16:01.491,0.497,-0.162,-0.056,0.941
1584015361511,2020-03-12T12:16:01.511,0.517,-0.157,-0.057,0.949
1584015361530,2020-03-12T12:16:01.530,0.536,-0.153,-0.053,0.954
1584015361551,2020-03-12T12:16:01.551,0.557,-0.157,-0.054,0.947
1584015361570,2020-03-12T12:16:01.570,0.576,-0.165,-0.056,0.942
1584015361590,2020-03-12T12:16:01.590,0.596,-0.166,-0.056,0.945
1584015361609,2020-03-12T12:16:01.609,0.615,-0.161,-0.054,0.949
1584015361630,2020-03-12T12:16:01.630,0.636,-0.162,-0.054,0.945
1584015361650,2020-03-12T12:16:01.650,0.656,-0.164,-0.054,0.944
1584015361669,2020-03-12T12:16:01.669,0.675,-0.163,-0.055,0.950
1584015361690,2020-03-12T12:16:01.690,0.696,-0.159,-0.056,0.948
1584015361709,2020-03-12T12:16:01.709,0.715,-0.160,-0.055,0.943
1584015361730,2020-03-12T12:16:01.730,0.736,-0.163,-0.055,0.946
1584015361749,2020-03-12T12:16:01.749,0.755,-0.164,-0.054,0.949
1584015361769,2020-03-12T12:16:01.769,0.775,-0.161,-0.054,0.947
1584015361790,2020-03-12T12:16:01.790,0.796,-0.160,-0.053,0.944
1584015361809,2020-03-12T12:16:01.809,0.815,-0.160,-0.056,0.949
1584015361829,2020-03-12T12:16:01.829,0.835,-0.159,-0.054,0.951
1584015361848,2020-03-12T12:16:01.848,0.854,-0.160,-0.053,0.945
1584015361869,2020-03-12T12:16:01.869,0.875,-0.165,-0.056,0.944
1584015361888,2020-03-12T12:16:01.888,0.894,-0.165,-0.056,0.948
1584015361908,2020-03-12T12:16:01.908,0.914,-0.158,-0.053,0.949
1584015361927,2020-03-12T12:16:01.927,0.933,-0.160,-0.053,0.945
1584015361948,2020-03-12T12:16:01.948,0.954,-0.167,-0.055,0.945
1584015361968,2020-03-12T12:16:01.968,0.974,-0.164,-0.054,0.947
1584015361987,2020-03-12T12:16:01.987,0.993,-0.160,-0.053,0.949
1584015362008,2020-03-12T12:16:02.008,1.014,-0.159,-0.055,0.945
1584015362027,2020-03-12T12:16:02.027,1.033,-0.161,-0.053,0.946
1584015362047,2020-03-12T12:16:02.047,1.053,-0.164,-0.054,0.946
1584015362066,2020-03-12T12:16:02.066,1.072,-0.166,-0.054,0.945
1584015362087,2020-03-12T12:16:02.087,1.093,-0.161,-0.054,0.945
1584015362107,2020-03-12T12:16:02.107,1.113,-0.160,-0.054,0.947
1584015362126,2020-03-12T12:16:02.126,1.132,-0.160,-0.053,0.947
1584015362147,2020-03-12T12:16:02.147,1.153,-0.164,-0.053,0.947
1584015362166,2020-03-12T12:16:02.166,1.172,-0.166,-0.053,0.947
1584015362187,2020-03-12T12:16:02.187,1.193,-0.165,-0.053,0.946
1584015362206,2020-03-12T12:16:02.206,1.212,-0.161,-0.053,0.947
1584015362226,2020-03-12T12:16:02.226,1.232,-0.161,-0.053,0.948
1584015362247,2020-03-12T12:16:02.247,1.253,-0.163,-0.052,0.946
1584015362266,2020-03-12T12:16:02.266,1.272,-0.166,-0.053,0.948
1584015362286,2020-03-12T12:16:02.286,1.292,-0.160,-0.053,0.948
1584015362305,2020-03-12T12:16:02.305,1.311,-0.156,-0.053,0.948
1584015362326,2020-03-12T12:16:02.326,1.332,-0.161,-0.054,0.947
1584015362345,2020-03-12T12:16:02.345,1.351,-0.167,-0.054,0.945
1584015362365,2020-03-12T12:16:02.365,1.371,-0.169,-0.052,0.945
1584015362386,2020-03-12T12:16:02.386,1.392,-0.164,-0.051,0.948
1584015362405,2020-03-12T12:16:02.405,1.411,-0.160,-0.052,0.947
1584015362425,2020-03-12T12:16:02.425,1.431,-0.162,-0.051,0.947
1584015362444,2020-03-12T12:16:02.444,1.450,-0.165,-0.054,0.948
1584015362465,2020-03-12T12:16:02.465,1.471,-0.167,-0.054,0.946
1584015362484,2020-03-12T12:16:02.484,1.490,-0.168,-0.053,0.946
1584015362504,2020-03-12T12:16:02.504,1.510,-0.163,-0.051,0.945
1584015362525,2020-03-12T12:16:02.525,1.531,-0.158,-0.052,0.948
