epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584011749322,2020-03-12T11:15:49.322,0.000,-0.077,-0.088,0.947
1584011749343,2020-03-12T11:15:49.343,0.021,-0.074,-0.089,0.958
1584011749362,2020-03-12T11:15:49.362,0.040,-0.073,-0.088,0.957
1584011749382,2020-03-12T11:15:49.382,0.060,-0.083,-0.089,0.954
1584011749401,2020-03-12T11:15:49.401,0.079,-0.088,-0.087,0.951
1584011749422,2020-03-12T11:15:49.422,0.100,-0.082,-0.087,0.954
1584011749441,2020-03-12T11:15:49.441,0.119,-0.073,-0.086,0.956
1584011749461,2020-03-12T11:15:49.461,0.139,-0.078,-0.088,0.954
1584011749480,2020-03-12T11:15:49.480,0.158,-0.084,-0.090,0.954
1584011749501,2020-03-12T11:15:49.501,0.179,-0.087,-0.088,0.954
1584011749521,2020-03-12T11:15:49.521,0.199,-0.082,-0.083,0.954
1584011749540,2020-03-12T11:15:49.540,0.218,-0.072,-0.085,0.953
1584011749561,2020-03-12T11:15:49.561,0.239,-0.064,-0.089,0.956
1584011749580,2020-03-12T11:15:49.580,0.258,-0.058,-0.092,0.958
1584011749601,2020-03-12T11:15:49.601,0.279,-0.062,-0.092,0.958
1584011749620,2020-03-12T11:15:49.620,0.298,-0.070,-0.092,0.956
1584011749640,2020-03-12T11:15:49.640,0.318,-0.071,-0.091,0.953
1584011749661,2020-03-12T11:15:49.661,0.339,-0.065,-0.091,0.955
1584011749680,2020-03-12T11:15:49.680,0.358,-0.059,-0.093,0.957
1584011749700,2020-03-12T11:15:49.700,0.378,-0.058,-0.088,0.957
1584011749719,2020-03-12T11:15:49.719,0.397,-0.061,-0.088,0.956
1584011749740,2020-03-12T11:15:49.740,0.418,-0.061,-0.087,0.956
1584011749759,2020-03-12T11:15:49.759,0.437,-0.058,-0.090,0.957
1584011749779,2020-03-12T11:15:49.779,0.457,-0.059,-0.091,0.957
1584011749800,2020-03-12T11:15:49.800,0.478,-0.064,-0.089,0.956
1584011749819,2020-03-12T11:15:49.819,0.497,-0.070,-0.091,0.957
1584011749839,2020-03-12T11:15:49.839,0.517,-0.074,-0.090,0.954
1584011749858,2020-03-12T11:15:49.858,0.536,-0.074,-0.093,0.956
1584011749879,2020-03-12T11:15:49.879,0.557,-0.072,-0.091,0.956
1584011749898,2020-03-12T11:15:49.898,0.576,-0.074,-0.090,0.954
1584011749918,2020-03-12T11:15:49.918,0.596,-0.077,-0.087,0.956
1584011749939,2020-03-12T11:15:49.939,0.617,-0.072,-0.086,0.960
1584011749958,2020-03-12T11:15:49.958,0.636,-0.065,-0.088,0.955
1584011749978,2020-03-12T11:15:49.978,0.656,-0.066,-0.091,0.955
1584011749997,2020-03-12T11:15:49.997,0.675,-0.072,-0.091,0.955
1584011750018,2020-03-12T11:15:50.018,0.696,-0.079,-0.089,0.954
1584011750037,2020-03-12T11:15:50.037,0.715,-0.081,-0.087,0.954
1584011750058,2020-03-12T11:15:50.058,0.736,-0.074,-0.089,0.957
1584011750078,2020-03-12T11:15:50.078,0.756,-0.068,-0.090,0.956
1584011750097,2020-03-12T11:15:50.097,0.775,-0.068,-0.089,0.955
1584011750118,2020-03-12T11:15:50.118,0.796,-0.071,-0.088,0.956
1584011750137,2020-03-12T11:15:50.137,0.815,-0.071,-0.088,0.956
1584011750157,2020-03-12T11:15:50.157,0.835,-0.072,-0.088,0.956
1584011750176,2020-03-12T11:15:50.176,0.854,-0.077,-0.089,0.956
1584011750197,2020-03-12T11:15:50.197,0.875,-0.075,-0.090,0.957
1584011750216,2020-03-12T11:15:50.216,0.894,-0.071,-0.089,0.956
1584011750236,2020-03-12T11:15:50.236,0.914,-0.071,-0.089,0.957
1584011750257,2020-03-12T11:15:50.257,0.935,-0.072,-0.089,0.956
1584011750276,2020-03-12T11:15:50.276,0.954,-0.074,-0.090,0.956
1584011750296,2020-03-12T11:15:50.296,0.974,-0.074,-0.089,0.959
1584011750315,2020-03-12T11:15:50.315,0.993,-0.075,-0.089,0.957
1584011750336,2020-03-12T11:15:50.336,1.014,-0.072,-0.088,0.956
1584011750355,2020-03-12T11:15:50.355,1.033,-0.069,-0.089,0.955
1584011750375,2020-03-12T11:15:50.375,1.053,-0.066,-0.091,0.958
1584011750396,2020-03-12T11:15:50.396,1.074,-0.069,-0.089,0.957
1584011750415,2020-03-12T11:15:50.415,1.093,-0.072,-0.087,0.954
1584011750435,2020-03-12T11:15:50.435,1.113,-0.073,-0.088,0.957
1584011750455,2020-03-12T11:15:50.455,1.133,-0.069,-0.090,0.960
1584011750475,2020-03-12T11:15:50.475,1.153,-0.069,-0.089,0.958
1584011750494,2020-03-12T11:15:50.494,1.172,-0.076,-0.088,0.955
1584011750515,2020-03-12T11:15:50.515,1.193,-0.077,-0.090,0.958
1584011750535,2020-03-12T11:15:50.535,1.213,-0.073,-0.088,0.959
1584011750554,2020-03-12T11:15:50.554,1.232,-0.070,-0.086,0.957
