epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584012601327,2020-03-12T11:30:01.327,0.000,0.143,-0.039,0.947
1584012601346,2020-03-12T11:30:01.346,0.019,0.138,-0.039,0.955
1584012601367,2020-03-12T11:30:01.367,0.040,0.128,-0.040,0.954
1584012601386,2020-03-12T11:30:01.386,0.059,0.130,-0.039,0.953
1584012601406,2020-03-12T11:30:01.406,0.079,0.136,-0.037,0.952
1584012601427,2020-03-12T11:30:01.427,0.100,0.140,-0.041,0.953
1584012601446,2020-03-12T11:30:01.446,0.119,0.139,-0.042,0.956
1584012601466,2020-03-12T11:30:01.466,0.139,0.136,-0.040,0.956
1584012601486,2020-03-12T11:30:01.486,0.159,0.132,-0.039,0.954
1584012601506,2020-03-12T11:30:01.506,0.179,0.128,-0.041,0.954
1584012601525,2020-03-12T11:30:01.525,0.198,0.131,-0.043,0.955
1584012601546,2020-03-12T11:30:01.546,0.219,0.140,-0.040,0.952
1584012601566,2020-03-12T11:30:01.566,0.239,0.148,-0.041,0.950
1584012601585,2020-03-12T11:30:01.585,0.258,0.149,-0.044,0.955
1584012601606,2020-03-12T11:30:01.606,0.279,0.147,-0.043,0.957
1584012601625,2020-03-12T11:30:01.625,0.298,0.139,-0.040,0.953
1584012601645,2020-03-12T11:30:01.645,0.318,0.135,-0.043,0.954
1584012601664,2020-03-12T11:30:01.664,0.337,0.137,-0.041,0.954
1584012601685,2020-03-12T11:30:01.685,0.358,0.142,-0.040,0.954
1584012601705,2020-03-12T11:30:01.705,0.378,0.152,-0.037,0.953
1584012601724,2020-03-12T11:30:01.724,0.397,0.149,-0.041,0.954
1584012601745,2020-03-12T11:30:01.745,0.418,0.140,-0.041,0.953
1584012601764,2020-03-12T11:30:01.764,0.437,0.139,-0.038,0.953
1584012601784,2020-03-12T11:30:01.784,0.457,0.149,-0.039,0.953
1584012601803,2020-03-12T11:30:01.803,0.476,0.154,-0.041,0.953
1584012601824,2020-03-12T11:30:01.824,0.497,0.149,-0.042,0.954
1584012601843,2020-03-12T11:30:01.843,0.516,0.140,-0.043,0.952
1584012601863,2020-03-12T11:30:01.863,0.536,0.140,-0.044,0.952
1584012601884,2020-03-12T11:30:01.884,0.557,0.146,-0.040,0.956
1584012601903,2020-03-12T11:30:01.903,0.576,0.145,-0.038,0.953
1584012601924,2020-03-12T11:30:01.924,0.597,0.142,-0.040,0.953
1584012601943,2020-03-12T11:30:01.943,0.616,0.142,-0.040,0.954
1584012601963,2020-03-12T11:30:01.963,0.636,0.145,-0.040,0.954
1584012601982,2020-03-12T11:30:01.982,0.655,0.146,-0.040,0.953
1584012602003,2020-03-12T11:30:02.003,0.676,0.147,-0.039,0.955
1584012602023,2020-03-12T11:30:02.023,0.696,0.141,-0.039,0.955
1584012602042,2020-03-12T11:30:02.042,0.715,0.140,-0.039,0.953
1584012602063,2020-03-12T11:30:02.063,0.736,0.138,-0.036,0.953
1584012602082,2020-03-12T11:30:02.082,0.755,0.137,-0.036,0.954
1584012602102,2020-03-12T11:30:02.102,0.775,0.137,-0.039,0.954
1584012602121,2020-03-12T11:30:02.121,0.794,0.137,-0.040,0.951
1584012602142,2020-03-12T11:30:02.142,0.815,0.143,-0.038,0.953
1584012602162,2020-03-12T11:30:02.162,0.835,0.146,-0.040,0.957
1584012602181,2020-03-12T11:30:02.181,0.854,0.142,-0.038,0.953
1584012602202,2020-03-12T11:30:02.202,0.875,0.139,-0.036,0.948
1584012602221,2020-03-12T11:30:02.221,0.894,0.141,-0.039,0.955
1584012602241,2020-03-12T11:30:02.241,0.914,0.146,-0.040,0.956
1584012602260,2020-03-12T11:30:02.260,0.933,0.146,-0.038,0.953
1584012602281,2020-03-12T11:30:02.281,0.954,0.142,-0.041,0.954
1584012602301,2020-03-12T11:30:02.301,0.974,0.143,-0.039,0.953
1584012602320,2020-03-12T11:30:02.320,0.993,0.150,-0.040,0.954
1584012602341,2020-03-12T11:30:02.341,1.014,0.148,-0.039,0.954
1584012602360,2020-03-12T11:30:02.360,1.033,0.140,-0.038,0.955
1584012602381,2020-03-12T11:30:02.381,1.054,0.139,-0.037,0.956
1584012602400,2020-03-12T11:30:02.400,1.073,0.144,-0.036,0.953
1584012602420,2020-03-12T11:30:02.420,1.093,0.144,-0.041,0.955
1584012602441,2020-03-12T11:30:02.441,1.114,0.144,-0.040,0.953
1584012602460,2020-03-12T11:30:02.460,1.133,0.144,-0.039,0.955
1584012602480,2020-03-12T11:30:02.480,1.153,0.141,-0.037,0.954
1584012602499,2020-03-12T11:30:02.499,1.172,0.138,-0.035,0.952
1584012602520,2020-03-12T11:30:02.520,1.193,0.140,-0.037,0.955
1584012602539,2020-03-12T11:30:02.539,1.212,0.142,-0.040,0.958
1584012602559,2020-03-12T11:30:02.559,1.232,0.141,-0.040,0.954
1584012602580,2020-03-12T11:30:02.580,1.253,0.137,-0.038,0.951
1584012602599,2020-03-12T11:30:02.599,1.272,0.136,-0.038,0.957
1584012602619,2020-03-12T11:30:02.619,1.292,0.138,-0.039,0.956
1584012602638,2020-03-12T11:30:02.638,1.311,0.141,-0.038,0.953
1584012602659,2020-03-12T11:30:02.659,1.332,0.142,-0.037,0.953
1584012602678,2020-03-12T11:30:02.678,1.351,0.141,-0.038,0.954
1584012602698,2020-03-12T11:30:02.698,1.371,0.141,-0.039,0.956
1584012602719,2020-03-12T11:30:02.719,1.392,0.141,-0.038,0.952
1584012602738,2020-03-12T11:30:02.738,1.411,0.142,-0.040,0.957
1584012602758,2020-03-12T11:30:02.758,1.431,0.140,-0.039,0.957
1584012602778,2020-03-12T11:30:02.778,1.451,0.139,-0.036,0.954
1584012602798,2020-03-12T11:30:02.798,1.471,0.140,-0.038,0.956
1584012602817,2020-03-12T11:30:02.817,1.490,0.139,-0.040,0.955
1584012602838,2020-03-12T11:30:02.838,1.511,0.143,-0.038,0.955
1584012602858,2020-03-12T11:30:02.858,1.531,0.144,-0.038,0.955
1584012602877,2020-03-12T11:30:02.877,1.550,0.137,-0.040,0.955
1584012602898,2020-03-12T11:30:02.898,1.571,0.137,-0.036,0.955
1584012602917,2020-03-12T11:30:02.917,1.590,0.140,-0.037,0.954
1584012602937,2020-03-12T11:30:02.937,1.610,0.141,-0.038,0.954
1584012602956,2020-03-12T11:30:02.956,1.629,0.138,-0.039,0.955
1584012602977,2020-03-12T11:30:02.977,1.650,0.139,-0.040,0.957
1584012602997,2020-03-12T11:30:02.997,1.670,0.140,-0.038,0.954
1584012603016,2020-03-12T11:30:03.016,1.689,0.138,-0.038,0.954
1584012603037,2020-03-12T11:30:03.037,1.710,0.138,-0.039,0.956
1584012603056,2020-03-12T11:30:03.056,1.729,0.138,-0.040,0.954
1584012603076,2020-03-12T11:30:03.076,1.749,0.143,-0.038,0.954
1584012603095,2020-03-12T11:30:03.095,1.768,0.142,-0.038,0.954
1584012603116,2020-03-12T11:30:03.116,1.789,0.140,-0.040,0.953
1584012603135,2020-03-12T11:30:03.135,1.808,0.144,-0.041,0.958
1584012603155,2020-03-12T11:30:03.155,1.828,0.140,-0.038,0.955
1584012603176,2020-03-12T11:30:03.176,1.849,0.135,-0.037,0.955
1584012603195,2020-03-12T11:30:03.195,1.868,0.138,-0.039,0.955
1584012603216,2020-03-12T11:30:03.216,1.889,0.143,-0.038,0.956
1584012603235,2020-03-12T11:30:03.235,1.908,0.142,-0.038,0.955
1584012603255,2020-03-12T11:30:03.255,1.928,0.139,-0.038,0.956
1584012603274,2020-03-12T11:30:03.274,1.947,0.138,-0.040,0.955
1584012603295,2020-03-12T11:30:03.295,1.968,0.139,-0.038,0.954
1584012603315,2020-03-12T11:30:03.315,1.988,0.137,-0.040,0.956
1584012603334,2020-03-12T11:30:03.334,2.007,0.132,-0.036,0.953
1584012603355,2020-03-12T11:30:03.355,2.028,0.135,-0.038,0.954
1584012603374,2020-03-12T11:30:03.374,2.047,0.141,-0.036,0.956
1584012603394,2020-03-12T11:30:03.394,2.067,0.137,-0.040,0.955
1584012603413,2020-03-12T11:30:03.413,2.086,0.130,-0.040,0.955
1584012603434,2020-03-12T11:30:03.434,2.107,0.130,-0.037,0.955
1584012603454,2020-03-12T11:30:03.454,2.127,0.132,-0.035,0.954
1584012603473,2020-03-12T11:30:03.473,2.146,0.137,-0.036,0.955
1584012603494,2020-03-12T11:30:03.494,2.167,0.133,-0.037,0.956
1584012603513,2020-03-12T11:30:03.513,2.186,0.130,-0.036,0.958
1584012603533,2020-03-12T11:30:03.533,2.206,0.134,-0.037,0.956
1584012603552,2020-03-12T11:30:03.552,2.225,0.134,-0.039,0.954
1584012603573,2020-03-12T11:30:03.573,2.246,0.132,-0.038,0.956
1584012603593,2020-03-12T11:30:03.593,2.266,0.132,-0.038,0.958
1584012603612,2020-03-12T11:30:03.612,2.285,0.134,-0.038,0.952
1584012603633,2020-03-12T11:30:03.633,2.306,0.136,-0.040,0.955
1584012603652,2020-03-12T11:30:03.652,2.325,0.138,-0.040,0.958
1584012603673,2020-03-12T11:30:03.673,2.346,0.140,-0.037,0.956
1584012603692,2020-03-12T11:30:03.692,2.365,0.137,-0.038,0.955
1584012603712,2020-03-12T11:30:03.712,2.385,0.131,-0.039,0.957
1584012603733,2020-03-12T11:30:03.733,2.406,0.130,-0.039,0.957
1584012603752,2020-03-12T11:30:03.752,2.425,0.136,-0.036,0.954
1584012603772,2020-03-12T11:30:03.772,2.445,0.142,-0.039,0.954
1584012603791,2020-03-12T11:30:03.791,2.464,0.140,-0.041,0.955
1584012603812,2020-03-12T11:30:03.812,2.485,0.143,-0.037,0.956
1584012603831,2020-03-12T11:30:03.831,2.504,0.144,-0.037,0.955
1584012603851,2020-03-12T11:30:03.851,2.524,0.139,-0.038,0.956
1584012603872,2020-03-12T11:30:03.872,2.545,0.138,-0.041,0.957
1584012603891,2020-03-12T11:30:03.891,2.564,0.138,-0.039,0.955
1584012603911,2020-03-12T11:30:03.911,2.584,0.140,-0.038,0.954
1584012603930,2020-03-12T11:30:03.930,2.603,0.137,-0.038,0.955
