epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1584011486922,2020-03-12T11:11:26.922,0.000,-8.224,1.418,-0.343
1584011486942,2020-03-12T11:11:26.942,0.020,-8.712,1.052,-0.724
1584011486963,2020-03-12T11:11:26.963,0.041,-8.049,0.198,4.840
1584011486982,2020-03-12T11:11:26.982,0.060,-6.944,12.462,12.363
1584011487003,2020-03-12T11:11:27.003,0.081,-8.171,11.296,3.788
1584011487022,2020-03-12T11:11:27.022,0.100,-2.485,3.788,3.407
1584011487042,2020-03-12T11:11:27.042,0.120,1.059,0.549,2.538
1584011487061,2020-03-12T11:11:27.061,0.139,4.558,-1.700,1.113
1584011487082,2020-03-12T11:11:27.082,0.160,7.607,-3.369,0.495
1584011487102,2020-03-12T11:11:27.102,0.180,9.809,-6.692,-0.069
1584011487121,2020-03-12T11:11:27.121,0.199,12.538,-5.938,-0.122
1584011487142,2020-03-12T11:11:27.142,0.220,13.331,-5.823,-2.393
1584011487161,2020-03-12T11:11:27.161,0.239,15.976,-0.297,-1.890
1584011487181,2020-03-12T11:11:27.181,0.259,16.159,8.941,0.107
1584011487200,2020-03-12T11:11:27.200,0.278,12.195,14.177,1.989
1584011487221,2020-03-12T11:11:27.221,0.299,7.866,23.255,4.169
1584011487241,2020-03-12T11:11:27.241,0.319,4.916,39.802,6.471
1584011487260,2020-03-12T11:11:27.260,0.338,-0.549,67.073,7.180
1584011487281,2020-03-12T11:11:27.281,0.359,-7.096,97.180,-3.933
1584011487300,2020-03-12T11:11:27.300,0.378,-9.870,96.677,-18.613
1584011487320,2020-03-12T11:11:27.320,0.398,-5.381,39.482,-15.579
1584011487339,2020-03-12T11:11:27.339,0.417,-2.340,-1.273,-8.155
1584011487360,2020-03-12T11:11:27.360,0.438,-0.823,-1.021,-3.316
1584011487379,2020-03-12T11:11:27.379,0.457,0.846,3.163,1.822
1584011487399,2020-03-12T11:11:27.399,0.477,0.419,-0.175,4.154
1584011487420,2020-03-12T11:11:27.420,0.498,2.683,-2.203,8.110
1584011487439,2020-03-12T11:11:27.439,0.517,4.627,-2.142,10.091
1584011487460,2020-03-12T11:11:27.460,0.538,4.672,-6.059,6.227
1584011487479,2020-03-12T11:11:27.479,0.557,5.503,-5.290,4.924
1584011487499,2020-03-12T11:11:27.499,0.577,10.030,-4.405,3.110
1584011487518,2020-03-12T11:11:27.518,0.596,6.540,-4.596,-0.953
1584011487539,2020-03-12T11:11:27.539,0.617,4.085,-6.829,-2.454
1584011487559,2020-03-12T11:11:27.559,0.637,3.826,-9.588,-3.186
1584011487578,2020-03-12T11:11:27.578,0.656,6.372,-11.425,-3.056
1584011487599,2020-03-12T11:11:27.599,0.677,8.994,-12.652,-2.462
1584011487618,2020-03-12T11:11:27.618,0.696,10.023,-14.047,-1.974
1584011487638,2020-03-12T11:11:27.638,0.716,9.314,-14.733,-1.471
1584011487657,2020-03-12T11:11:27.657,0.735,8.498,-11.570,-0.877
1584011487678,2020-03-12T11:11:27.678,0.756,7.142,-5.838,-0.366
1584011487698,2020-03-12T11:11:27.698,0.776,5.488,-1.547,-0.023
1584011487717,2020-03-12T11:11:27.717,0.795,4.055,0.556,0.000
1584011487738,2020-03-12T11:11:27.738,0.816,2.813,0.861,-0.107
1584011487757,2020-03-12T11:11:27.757,0.835,2.172,-1.128,-0.678
1584011487777,2020-03-12T11:11:27.777,0.855,2.271,-3.384,-1.212
1584011487796,2020-03-12T11:11:27.796,0.874,2.805,-3.620,-1.456
1584011487817,2020-03-12T11:11:27.817,0.895,3.430,-3.720,-1.479
1584011487836,2020-03-12T11:11:27.836,0.914,3.689,-4.169,-1.410
1584011487857,2020-03-12T11:11:27.857,0.935,3.895,-4.245,-1.357
1584011487877,2020-03-12T11:11:27.877,0.955,4.200,-3.986,-1.463
1584011487896,2020-03-12T11:11:27.896,0.974,4.710,-4.444,-1.631
1584011487917,2020-03-12T11:11:27.917,0.995,5.671,-4.817,-1.707
1584011487936,2020-03-12T11:11:27.936,1.014,7.523,-5.221,-1.730
1584011487956,2020-03-12T11:11:27.956,1.034,9.101,-5.617,-1.806
1584011487975,2020-03-12T11:11:27.975,1.053,8.674,-7.210,-1.837
1584011487996,2020-03-12T11:11:27.996,1.074,6.601,-8.933,-1.791
1584011488016,2020-03-12T11:11:28.016,1.094,4.322,-8.758,-1.677
1584011488035,2020-03-12T11:11:28.035,1.113,2.454,-6.662,-1.212
1584011488056,2020-03-12T11:11:28.056,1.134,1.250,-3.605,-0.831
1584011488075,2020-03-12T11:11:28.075,1.153,0.930,-0.716,-0.511
1584011488095,2020-03-12T11:11:28.095,1.173,1.181,0.777,-0.229
1584011488114,2020-03-12T11:11:28.114,1.192,1.418,0.755,-0.160
1584011488135,2020-03-12T11:11:28.135,1.213,2.088,0.213,-0.335
1584011488155,2020-03-12T11:11:28.155,1.233,2.881,-0.617,-0.419
1584011488174,2020-03-12T11:11:28.174,1.252,3.285,-0.595,-0.526
1584011488195,2020-03-12T11:11:28.195,1.273,3.255,-0.534,-0.549
1584011488214,2020-03-12T11:11:28.214,1.292,2.828,-0.427,-0.518
1584011488234,2020-03-12T11:11:28.234,1.312,2.500,-0.221,-0.328
1584011488253,2020-03-12T11:11:28.253,1.331,2.111,-0.366,-0.137
1584011488274,2020-03-12T11:11:28.274,1.352,1.410,-0.191,-0.152
1584011488295,2020-03-12T11:11:28.295,1.373,1.037,0.488,-0.046
1584011488314,2020-03-12T11:11:28.314,1.392,0.739,1.098,-0.084
1584011488334,2020-03-12T11:11:28.334,1.412,0.648,1.608,-0.122
1584011488353,2020-03-12T11:11:28.353,1.431,1.311,1.593,-0.053
1584011488374,2020-03-12T11:11:28.374,1.452,2.119,1.250,-0.122
1584011488393,2020-03-12T11:11:28.393,1.471,2.508,0.869,-0.328
1584011488413,2020-03-12T11:11:28.413,1.491,2.172,0.213,-0.518
1584011488434,2020-03-12T11:11:28.434,1.512,1.753,-0.663,-0.716
1584011488453,2020-03-12T11:11:28.453,1.531,1.463,-0.930,-0.549
1584011488473,2020-03-12T11:11:28.473,1.551,0.526,-0.709,-0.457
1584011488492,2020-03-12T11:11:28.492,1.570,-0.663,-0.686,-0.495
1584011488513,2020-03-12T11:11:28.513,1.591,-1.067,-0.686,-0.434
1584011488532,2020-03-12T11:11:28.532,1.610,-1.303,-0.663,-0.564
1584011488552,2020-03-12T11:11:28.552,1.630,-0.991,-0.732,-0.724
1584011488571,2020-03-12T11:11:28.571,1.649,-0.274,-0.762,-0.808
1584011488592,2020-03-12T11:11:28.592,1.670,0.465,-0.663,-0.945
1584011488612,2020-03-12T11:11:28.612,1.690,0.640,-0.945,-1.082
1584011488631,2020-03-12T11:11:28.631,1.709,0.526,-1.639,-1.296
1584011488652,2020-03-12T11:11:28.652,1.730,0.633,-1.852,-1.212
