epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584099470413,2020-03-13T11:37:50.413,0.000,0.016,-0.135,0.948
1584099470432,2020-03-13T11:37:50.432,0.019,0.018,-0.135,0.959
1584099470452,2020-03-13T11:37:50.452,0.039,0.008,-0.132,0.950
1584099470471,2020-03-13T11:37:50.471,0.058,0.004,-0.131,0.949
1584099470492,2020-03-13T11:37:50.492,0.079,-0.001,-0.132,0.956
1584099470511,2020-03-13T11:37:50.511,0.098,-0.002,-0.131,0.953
1584099470531,2020-03-13T11:37:50.531,0.118,0.007,-0.132,0.950
1584099470552,2020-03-13T11:37:50.552,0.139,0.007,-0.133,0.952
1584099470571,2020-03-13T11:37:50.571,0.158,-0.001,-0.134,0.954
1584099470591,2020-03-13T11:37:50.591,0.178,-0.004,-0.133,0.952
1584099470610,2020-03-13T11:37:50.610,0.197,0.001,-0.131,0.952
1584099470631,2020-03-13T11:37:50.631,0.218,0.008,-0.132,0.952
1584099470650,2020-03-13T11:37:50.650,0.237,0.013,-0.133,0.954
1584099470670,2020-03-13T11:37:50.670,0.257,0.009,-0.132,0.953
1584099470691,2020-03-13T11:37:50.691,0.278,-0.001,-0.132,0.953
1584099470710,2020-03-13T11:37:50.710,0.297,0.004,-0.133,0.955
1584099470730,2020-03-13T11:37:50.730,0.317,0.011,-0.136,0.954
1584099470749,2020-03-13T11:37:50.749,0.336,0.021,-0.136,0.949
1584099470770,2020-03-13T11:37:50.770,0.357,0.025,-0.137,0.949
1584099470789,2020-03-13T11:37:50.789,0.376,0.029,-0.137,0.954
1584099470810,2020-03-13T11:37:50.810,0.397,0.028,-0.136,0.954
1584099470830,2020-03-13T11:37:50.830,0.417,0.021,-0.137,0.950
1584099470849,2020-03-13T11:37:50.849,0.436,0.021,-0.138,0.949
1584099470870,2020-03-13T11:37:50.870,0.457,0.026,-0.138,0.954
1584099470889,2020-03-13T11:37:50.889,0.476,0.026,-0.139,0.954
1584099470909,2020-03-13T11:37:50.909,0.496,0.021,-0.140,0.952
1584099470928,2020-03-13T11:37:50.928,0.515,0.025,-0.138,0.951
1584099470949,2020-03-13T11:37:50.949,0.536,0.023,-0.139,0.951
1584099470969,2020-03-13T11:37:50.969,0.556,0.019,-0.137,0.952
1584099470988,2020-03-13T11:37:50.988,0.575,0.018,-0.136,0.954
1584099471009,2020-03-13T11:37:51.009,0.596,0.017,-0.136,0.955
1584099471028,2020-03-13T11:37:51.028,0.615,0.020,-0.138,0.953
1584099471048,2020-03-13T11:37:51.048,0.635,0.021,-0.136,0.955
1584099471067,2020-03-13T11:37:51.067,0.654,0.017,-0.133,0.954
1584099471088,2020-03-13T11:37:51.088,0.675,0.011,-0.135,0.953
1584099471108,2020-03-13T11:37:51.108,0.695,0.011,-0.135,0.954
1584099471127,2020-03-13T11:37:51.127,0.714,0.017,-0.135,0.956
1584099471148,2020-03-13T11:37:51.148,0.735,0.020,-0.135,0.952
1584099471167,2020-03-13T11:37:51.167,0.754,0.017,-0.138,0.949
1584099471187,2020-03-13T11:37:51.187,0.774,0.012,-0.138,0.954
1584099471206,2020-03-13T11:37:51.206,0.793,0.011,-0.135,0.956
