epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584098927161,2020-03-13T11:28:47.161,0.000,0.097,-0.110,0.938
1584098927182,2020-03-13T11:28:47.182,0.021,0.096,-0.114,0.957
1584098927201,2020-03-13T11:28:47.201,0.040,0.093,-0.110,0.956
1584098927221,2020-03-13T11:28:47.221,0.060,0.077,-0.112,0.947
1584098927240,2020-03-13T11:28:47.240,0.079,0.067,-0.114,0.947
1584098927261,2020-03-13T11:28:47.261,0.100,0.083,-0.112,0.954
1584098927280,2020-03-13T11:28:47.280,0.119,0.100,-0.111,0.953
1584098927300,2020-03-13T11:28:47.300,0.139,0.099,-0.108,0.948
1584098927321,2020-03-13T11:28:47.321,0.160,0.096,-0.109,0.953
1584098927340,2020-03-13T11:28:47.340,0.179,0.101,-0.111,0.958
1584098927360,2020-03-13T11:28:47.360,0.199,0.109,-0.111,0.949
1584098927379,2020-03-13T11:28:47.379,0.218,0.116,-0.113,0.946
1584098927400,2020-03-13T11:28:47.400,0.239,0.117,-0.115,0.953
1584098927419,2020-03-13T11:28:47.419,0.258,0.113,-0.115,0.955
1584098927439,2020-03-13T11:28:47.439,0.278,0.109,-0.113,0.946
1584098927460,2020-03-13T11:28:47.460,0.299,0.108,-0.112,0.948
1584098927479,2020-03-13T11:28:47.479,0.318,0.114,-0.117,0.953
1584098927499,2020-03-13T11:28:47.499,0.338,0.121,-0.117,0.950
1584098927518,2020-03-13T11:28:47.518,0.357,0.117,-0.116,0.948
1584098927539,2020-03-13T11:28:47.539,0.378,0.112,-0.117,0.950
1584098927558,2020-03-13T11:28:47.558,0.397,0.114,-0.117,0.952
1584098927578,2020-03-13T11:28:47.578,0.417,0.112,-0.115,0.948
1584098927598,2020-03-13T11:28:47.598,0.437,0.103,-0.117,0.947
1584098927618,2020-03-13T11:28:47.618,0.457,0.099,-0.118,0.955
1584098927639,2020-03-13T11:28:47.639,0.478,0.097,-0.115,0.952
1584098927658,2020-03-13T11:28:47.658,0.497,0.099,-0.114,0.948
1584098927678,2020-03-13T11:28:47.678,0.517,0.104,-0.116,0.951
1584098927697,2020-03-13T11:28:47.697,0.536,0.104,-0.115,0.953
1584098927718,2020-03-13T11:28:47.718,0.557,0.105,-0.114,0.949
1584098927737,2020-03-13T11:28:47.737,0.576,0.108,-0.113,0.948
1584098927757,2020-03-13T11:28:47.757,0.596,0.109,-0.115,0.952
1584098927778,2020-03-13T11:28:47.778,0.617,0.113,-0.116,0.953
1584098927797,2020-03-13T11:28:47.797,0.636,0.119,-0.115,0.950
1584098927817,2020-03-13T11:28:47.817,0.656,0.117,-0.114,0.949
1584098927836,2020-03-13T11:28:47.836,0.675,0.111,-0.115,0.953
1584098927857,2020-03-13T11:28:47.857,0.696,0.112,-0.114,0.953
1584098927876,2020-03-13T11:28:47.876,0.715,0.114,-0.115,0.948
1584098927896,2020-03-13T11:28:47.896,0.735,0.111,-0.114,0.949
1584098927917,2020-03-13T11:28:47.917,0.756,0.105,-0.115,0.954
