epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584016183907,2020-03-12T12:29:43.907,0.000,0.175,-0.987,0.028
1584016183928,2020-03-12T12:29:43.928,0.021,0.176,-0.996,0.025
1584016183947,2020-03-12T12:29:43.947,0.040,0.178,-0.994,0.026
1584016183967,2020-03-12T12:29:43.967,0.060,0.178,-0.993,0.026
1584016183986,2020-03-12T12:29:43.986,0.079,0.179,-0.993,0.025
1584016184007,2020-03-12T12:29:44.007,0.100,0.179,-0.993,0.024
1584016184027,2020-03-12T12:29:44.027,0.120,0.179,-0.993,0.023
1584016184046,2020-03-12T12:29:44.046,0.139,0.180,-0.994,0.024
1584016184067,2020-03-12T12:29:44.067,0.160,0.180,-0.992,0.024
1584016184086,2020-03-12T12:29:44.086,0.179,0.180,-0.992,0.025
1584016184107,2020-03-12T12:29:44.107,0.200,0.181,-0.994,0.026
1584016184126,2020-03-12T12:29:44.126,0.219,0.180,-0.993,0.026
1584016184146,2020-03-12T12:29:44.146,0.239,0.180,-0.992,0.026
1584016184167,2020-03-12T12:29:44.167,0.260,0.180,-0.994,0.024
1584016184186,2020-03-12T12:29:44.186,0.279,0.179,-0.994,0.025
1584016184206,2020-03-12T12:29:44.206,0.299,0.179,-0.994,0.025
1584016184225,2020-03-12T12:29:44.225,0.318,0.180,-0.992,0.025
1584016184246,2020-03-12T12:29:44.246,0.339,0.180,-0.994,0.025
1584016184265,2020-03-12T12:29:44.265,0.358,0.179,-0.993,0.025
1584016184285,2020-03-12T12:29:44.285,0.378,0.180,-0.993,0.026
1584016184306,2020-03-12T12:29:44.306,0.399,0.179,-0.994,0.024
1584016184325,2020-03-12T12:29:44.325,0.418,0.178,-0.994,0.024
1584016184345,2020-03-12T12:29:44.345,0.438,0.177,-0.993,0.025
1584016184364,2020-03-12T12:29:44.364,0.457,0.176,-0.995,0.026
1584016184385,2020-03-12T12:29:44.385,0.478,0.175,-0.995,0.025
1584016184404,2020-03-12T12:29:44.404,0.497,0.176,-0.994,0.026
1584016184424,2020-03-12T12:29:44.424,0.517,0.175,-0.993,0.027
1584016184443,2020-03-12T12:29:44.443,0.536,0.177,-0.992,0.026
1584016184464,2020-03-12T12:29:44.464,0.557,0.177,-0.992,0.026
1584016184484,2020-03-12T12:29:44.484,0.577,0.177,-0.994,0.026
1584016184504,2020-03-12T12:29:44.504,0.597,0.177,-0.993,0.026
1584016184524,2020-03-12T12:29:44.524,0.617,0.176,-0.992,0.026
1584016184543,2020-03-12T12:29:44.543,0.636,0.176,-0.993,0.026
1584016184564,2020-03-12T12:29:44.564,0.657,0.176,-0.994,0.026
1584016184583,2020-03-12T12:29:44.583,0.676,0.177,-0.993,0.026
1584016184603,2020-03-12T12:29:44.603,0.696,0.177,-0.994,0.025
1584016184624,2020-03-12T12:29:44.624,0.717,0.178,-0.993,0.025
1584016184643,2020-03-12T12:29:44.643,0.736,0.181,-0.992,0.026
1584016184663,2020-03-12T12:29:44.663,0.756,0.180,-0.992,0.028
1584016184682,2020-03-12T12:29:44.682,0.775,0.180,-0.993,0.026
1584016184703,2020-03-12T12:29:44.703,0.796,0.179,-0.991,0.027
1584016184722,2020-03-12T12:29:44.722,0.815,0.178,-0.993,0.029
1584016184742,2020-03-12T12:29:44.742,0.835,0.177,-0.994,0.027
1584016184763,2020-03-12T12:29:44.763,0.856,0.176,-0.993,0.025
1584016184782,2020-03-12T12:29:44.782,0.875,0.176,-0.993,0.024
1584016184802,2020-03-12T12:29:44.802,0.895,0.174,-0.995,0.024
1584016184821,2020-03-12T12:29:44.821,0.914,0.175,-0.994,0.024
1584016184842,2020-03-12T12:29:44.842,0.935,0.176,-0.993,0.024
1584016184861,2020-03-12T12:29:44.861,0.954,0.175,-0.993,0.025
1584016184881,2020-03-12T12:29:44.881,0.974,0.176,-0.993,0.025
1584016184902,2020-03-12T12:29:44.902,0.995,0.176,-0.993,0.026
1584016184921,2020-03-12T12:29:44.921,1.014,0.177,-0.993,0.026
1584016184941,2020-03-12T12:29:44.941,1.034,0.177,-0.994,0.027
1584016184961,2020-03-12T12:29:44.961,1.054,0.177,-0.993,0.027
1584016184981,2020-03-12T12:29:44.981,1.074,0.179,-0.991,0.026
1584016185000,2020-03-12T12:29:45.000,1.093,0.179,-0.993,0.027
1584016185021,2020-03-12T12:29:45.021,1.114,0.179,-0.994,0.026
1584016185041,2020-03-12T12:29:45.041,1.134,0.179,-0.993,0.026
1584016185060,2020-03-12T12:29:45.060,1.153,0.177,-0.993,0.027
1584016185081,2020-03-12T12:29:45.081,1.174,0.177,-0.993,0.026
1584016185100,2020-03-12T12:29:45.100,1.193,0.176,-0.994,0.028
1584016185120,2020-03-12T12:29:45.120,1.213,0.176,-0.993,0.025
1584016185139,2020-03-12T12:29:45.139,1.232,0.177,-0.993,0.027
1584016185160,2020-03-12T12:29:45.160,1.253,0.178,-0.992,0.027
1584016185180,2020-03-12T12:29:45.180,1.273,0.177,-0.994,0.027
1584016185199,2020-03-12T12:29:45.199,1.292,0.178,-0.993,0.026
1584016185220,2020-03-12T12:29:45.220,1.313,0.178,-0.993,0.028
1584016185239,2020-03-12T12:29:45.239,1.332,0.178,-0.993,0.027
1584016185259,2020-03-12T12:29:45.259,1.352,0.178,-0.993,0.026
1584016185278,2020-03-12T12:29:45.278,1.371,0.178,-0.994,0.025
1584016185299,2020-03-12T12:29:45.299,1.392,0.178,-0.994,0.027
1584016185319,2020-03-12T12:29:45.319,1.412,0.177,-0.993,0.027
1584016185338,2020-03-12T12:29:45.338,1.431,0.177,-0.994,0.026
1584016185359,2020-03-12T12:29:45.359,1.452,0.178,-0.994,0.027
1584016185378,2020-03-12T12:29:45.378,1.471,0.179,-0.994,0.027
1584016185399,2020-03-12T12:29:45.399,1.492,0.178,-0.993,0.027
1584016185418,2020-03-12T12:29:45.418,1.511,0.178,-0.994,0.029
1584016185438,2020-03-12T12:29:45.438,1.531,0.178,-0.994,0.026
1584016185457,2020-03-12T12:29:45.457,1.550,0.177,-0.993,0.027
1584016185478,2020-03-12T12:29:45.478,1.571,0.178,-0.992,0.029
1584016185498,2020-03-12T12:29:45.498,1.591,0.178,-0.992,0.028
1584016185517,2020-03-12T12:29:45.517,1.610,0.178,-0.993,0.026
1584016185538,2020-03-12T12:29:45.538,1.631,0.178,-0.994,0.026
1584016185557,2020-03-12T12:29:45.557,1.650,0.177,-0.995,0.026
1584016185577,2020-03-12T12:29:45.577,1.670,0.177,-0.993,0.027
1584016185596,2020-03-12T12:29:45.596,1.689,0.177,-0.995,0.027
1584016185617,2020-03-12T12:29:45.617,1.710,0.176,-0.993,0.024
1584016185637,2020-03-12T12:29:45.637,1.730,0.175,-0.993,0.025
1584016185656,2020-03-12T12:29:45.656,1.749,0.177,-0.993,0.026
1584016185677,2020-03-12T12:29:45.677,1.770,0.178,-0.994,0.027
1584016185696,2020-03-12T12:29:45.696,1.789,0.178,-0.995,0.025
1584016185716,2020-03-12T12:29:45.716,1.809,0.177,-0.994,0.027
1584016185735,2020-03-12T12:29:45.735,1.828,0.177,-0.994,0.028
1584016185756,2020-03-12T12:29:45.756,1.849,0.178,-0.993,0.027
1584016185776,2020-03-12T12:29:45.776,1.869,0.178,-0.993,0.028
1584016185795,2020-03-12T12:29:45.795,1.888,0.178,-0.993,0.027
1584016185816,2020-03-12T12:29:45.816,1.909,0.177,-0.993,0.026
1584016185835,2020-03-12T12:29:45.835,1.928,0.175,-0.994,0.026
1584016185856,2020-03-12T12:29:45.856,1.949,0.175,-0.994,0.027
1584016185875,2020-03-12T12:29:45.875,1.968,0.175,-0.993,0.029
1584016185895,2020-03-12T12:29:45.895,1.988,0.176,-0.993,0.026
1584016185916,2020-03-12T12:29:45.916,2.009,0.176,-0.993,0.027
1584016185935,2020-03-12T12:29:45.935,2.028,0.176,-0.993,0.026
1584016185955,2020-03-12T12:29:45.955,2.048,0.178,-0.995,0.025
1584016185974,2020-03-12T12:29:45.974,2.067,0.179,-0.994,0.027
1584016185995,2020-03-12T12:29:45.995,2.088,0.177,-0.994,0.026
1584016186014,2020-03-12T12:29:46.014,2.107,0.179,-0.994,0.027
1584016186034,2020-03-12T12:29:46.034,2.127,0.178,-0.994,0.027
1584016186055,2020-03-12T12:29:46.055,2.148,0.177,-0.993,0.027
1584016186074,2020-03-12T12:29:46.074,2.167,0.178,-0.994,0.027
1584016186094,2020-03-12T12:29:46.094,2.187,0.177,-0.995,0.027
1584016186113,2020-03-12T12:29:46.113,2.206,0.176,-0.993,0.029
1584016186134,2020-03-12T12:29:46.134,2.227,0.175,-0.993,0.025
1584016186153,2020-03-12T12:29:46.153,2.246,0.177,-0.994,0.027
1584016186173,2020-03-12T12:29:46.173,2.266,0.177,-0.994,0.026
1584016186194,2020-03-12T12:29:46.194,2.287,0.178,-0.993,0.027
1584016186213,2020-03-12T12:29:46.213,2.306,0.177,-0.994,0.027
1584016186233,2020-03-12T12:29:46.233,2.326,0.178,-0.994,0.027
1584016186253,2020-03-12T12:29:46.253,2.346,0.177,-0.993,0.027
1584016186273,2020-03-12T12:29:46.273,2.366,0.178,-0.993,0.027
1584016186292,2020-03-12T12:29:46.292,2.385,0.177,-0.993,0.027
1584016186313,2020-03-12T12:29:46.313,2.406,0.177,-0.993,0.027
1584016186333,2020-03-12T12:29:46.333,2.426,0.176,-0.993,0.026
1584016186352,2020-03-12T12:29:46.352,2.445,0.177,-0.993,0.026
1584016186373,2020-03-12T12:29:46.373,2.466,0.178,-0.993,0.027
1584016186392,2020-03-12T12:29:46.392,2.485,0.178,-0.994,0.026
1584016186412,2020-03-12T12:29:46.412,2.505,0.178,-0.995,0.025
1584016186431,2020-03-12T12:29:46.431,2.524,0.177,-0.993,0.027
1584016186452,2020-03-12T12:29:46.452,2.545,0.178,-0.993,0.027
1584016186471,2020-03-12T12:29:46.471,2.564,0.177,-0.992,0.027
1584016186491,2020-03-12T12:29:46.491,2.584,0.179,-0.994,0.027
1584016186512,2020-03-12T12:29:46.512,2.605,0.178,-0.994,0.028
1584016186531,2020-03-12T12:29:46.531,2.624,0.177,-0.992,0.027
1584016186551,2020-03-12T12:29:46.551,2.644,0.176,-0.994,0.028
1584016186570,2020-03-12T12:29:46.570,2.663,0.176,-0.993,0.026
1584016186591,2020-03-12T12:29:46.591,2.684,0.176,-0.994,0.027
1584016186610,2020-03-12T12:29:46.610,2.703,0.177,-0.994,0.027
1584016186630,2020-03-12T12:29:46.630,2.723,0.176,-0.993,0.025
1584016186651,2020-03-12T12:29:46.651,2.744,0.176,-0.994,0.028
1584016186670,2020-03-12T12:29:46.670,2.763,0.175,-0.994,0.026
1584016186691,2020-03-12T12:29:46.691,2.784,0.177,-0.994,0.027
1584016186710,2020-03-12T12:29:46.710,2.803,0.178,-0.993,0.026
1584016186730,2020-03-12T12:29:46.730,2.823,0.177,-0.995,0.025
1584016186749,2020-03-12T12:29:46.749,2.842,0.176,-0.995,0.028
1584016186770,2020-03-12T12:29:46.770,2.863,0.177,-0.992,0.027
1584016186790,2020-03-12T12:29:46.790,2.883,0.178,-0.994,0.027
1584016186809,2020-03-12T12:29:46.809,2.902,0.177,-0.994,0.025
1584016186830,2020-03-12T12:29:46.830,2.923,0.178,-0.993,0.026
1584016186849,2020-03-12T12:29:46.849,2.942,0.178,-0.993,0.028
1584016186869,2020-03-12T12:29:46.869,2.962,0.178,-0.994,0.026
1584016186888,2020-03-12T12:29:46.888,2.981,0.176,-0.995,0.026
1584016186909,2020-03-12T12:29:46.909,3.002,0.177,-0.993,0.028
1584016186929,2020-03-12T12:29:46.929,3.022,0.177,-0.993,0.026
1584016186948,2020-03-12T12:29:46.948,3.041,0.177,-0.993,0.027
1584016186969,2020-03-12T12:29:46.969,3.062,0.175,-0.993,0.028
1584016186988,2020-03-12T12:29:46.988,3.081,0.177,-0.994,0.027
1584016187008,2020-03-12T12:29:47.008,3.101,0.177,-0.993,0.026
1584016187027,2020-03-12T12:29:47.027,3.120,0.177,-0.993,0.027
1584016187048,2020-03-12T12:29:47.048,3.141,0.177,-0.993,0.026
1584016187068,2020-03-12T12:29:47.068,3.161,0.178,-0.993,0.026
1584016187087,2020-03-12T12:29:47.087,3.180,0.178,-0.994,0.026
1584016187108,2020-03-12T12:29:47.108,3.201,0.178,-0.992,0.027
1584016187127,2020-03-12T12:29:47.127,3.220,0.176,-0.994,0.026
1584016187148,2020-03-12T12:29:47.148,3.241,0.177,-0.994,0.028
1584016187167,2020-03-12T12:29:47.167,3.260,0.178,-0.995,0.027
1584016187187,2020-03-12T12:29:47.187,3.280,0.177,-0.994,0.026
1584016187208,2020-03-12T12:29:47.208,3.301,0.175,-0.994,0.027
1584016187227,2020-03-12T12:29:47.227,3.320,0.177,-0.994,0.028
1584016187247,2020-03-12T12:29:47.247,3.340,0.177,-0.995,0.026
1584016187266,2020-03-12T12:29:47.266,3.359,0.177,-0.994,0.026
1584016187287,2020-03-12T12:29:47.287,3.380,0.176,-0.994,0.028
1584016187306,2020-03-12T12:29:47.306,3.399,0.177,-0.995,0.028
1584016187326,2020-03-12T12:29:47.326,3.419,0.178,-0.995,0.027
1584016187347,2020-03-12T12:29:47.347,3.440,0.178,-0.994,0.028
1584016187366,2020-03-12T12:29:47.366,3.459,0.177,-0.993,0.027
1584016187386,2020-03-12T12:29:47.386,3.479,0.177,-0.993,0.027
1584016187405,2020-03-12T12:29:47.405,3.498,0.177,-0.995,0.026
1584016187426,2020-03-12T12:29:47.426,3.519,0.176,-0.995,0.027
1584016187445,2020-03-12T12:29:47.445,3.538,0.177,-0.993,0.027
1584016187465,2020-03-12T12:29:47.465,3.558,0.176,-0.993,0.027
1584016187486,2020-03-12T12:29:47.486,3.579,0.177,-0.992,0.027
1584016187505,2020-03-12T12:29:47.505,3.598,0.177,-0.993,0.026
1584016187525,2020-03-12T12:29:47.525,3.618,0.177,-0.993,0.027
1584016187545,2020-03-12T12:29:47.545,3.638,0.176,-0.993,0.028
1584016187565,2020-03-12T12:29:47.565,3.658,0.178,-0.995,0.026
1584016187584,2020-03-12T12:29:47.584,3.677,0.177,-0.994,0.027
