epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1584016440970,2020-03-12T12:34:00.970,0.000,0.143,-0.977,0.147
1584016440991,2020-03-12T12:34:00.991,0.021,0.142,-0.985,0.147
1584016441010,2020-03-12T12:34:01.010,0.040,0.140,-0.983,0.144
1584016441031,2020-03-12T12:34:01.031,0.061,0.140,-0.983,0.146
1584016441050,2020-03-12T12:34:01.050,0.080,0.138,-0.984,0.146
1584016441070,2020-03-12T12:34:01.070,0.100,0.136,-0.986,0.147
1584016441091,2020-03-12T12:34:01.091,0.121,0.134,-0.983,0.147
1584016441110,2020-03-12T12:34:01.110,0.140,0.134,-0.984,0.148
1584016441130,2020-03-12T12:34:01.130,0.160,0.134,-0.984,0.148
1584016441149,2020-03-12T12:34:01.149,0.179,0.136,-0.983,0.149
1584016441170,2020-03-12T12:34:01.170,0.200,0.137,-0.982,0.147
1584016441189,2020-03-12T12:34:01.189,0.219,0.140,-0.984,0.146
1584016441209,2020-03-12T12:34:01.209,0.239,0.142,-0.983,0.147
1584016441230,2020-03-12T12:34:01.230,0.260,0.141,-0.982,0.147
1584016441249,2020-03-12T12:34:01.249,0.279,0.140,-0.984,0.146
1584016441269,2020-03-12T12:34:01.269,0.299,0.140,-0.984,0.147
1584016441288,2020-03-12T12:34:01.288,0.318,0.141,-0.984,0.146
1584016441309,2020-03-12T12:34:01.309,0.339,0.141,-0.983,0.146
1584016441328,2020-03-12T12:34:01.328,0.358,0.140,-0.983,0.146
1584016441348,2020-03-12T12:34:01.348,0.378,0.139,-0.983,0.145
1584016441367,2020-03-12T12:34:01.367,0.397,0.138,-0.984,0.147
1584016441388,2020-03-12T12:34:01.388,0.418,0.138,-0.985,0.146
1584016441408,2020-03-12T12:34:01.408,0.438,0.136,-0.983,0.148
1584016441428,2020-03-12T12:34:01.428,0.458,0.138,-0.982,0.149
1584016441448,2020-03-12T12:34:01.448,0.478,0.137,-0.982,0.149
1584016441467,2020-03-12T12:34:01.467,0.497,0.135,-0.984,0.149
1584016441488,2020-03-12T12:34:01.488,0.518,0.136,-0.984,0.150
1584016441507,2020-03-12T12:34:01.507,0.537,0.137,-0.983,0.151
1584016441527,2020-03-12T12:34:01.527,0.557,0.137,-0.985,0.147
1584016441548,2020-03-12T12:34:01.548,0.578,0.135,-0.986,0.146
1584016441567,2020-03-12T12:34:01.567,0.597,0.135,-0.984,0.145
1584016441587,2020-03-12T12:34:01.587,0.617,0.135,-0.985,0.146
1584016441606,2020-03-12T12:34:01.606,0.636,0.136,-0.984,0.147
1584016441627,2020-03-12T12:34:01.627,0.657,0.135,-0.984,0.145
1584016441646,2020-03-12T12:34:01.646,0.676,0.136,-0.984,0.147
1584016441666,2020-03-12T12:34:01.666,0.696,0.136,-0.984,0.148
1584016441687,2020-03-12T12:34:01.687,0.717,0.137,-0.984,0.149
1584016441706,2020-03-12T12:34:01.706,0.736,0.137,-0.984,0.149
1584016441726,2020-03-12T12:34:01.726,0.756,0.137,-0.984,0.147
1584016441745,2020-03-12T12:34:01.745,0.775,0.136,-0.984,0.148
1584016441766,2020-03-12T12:34:01.766,0.796,0.135,-0.983,0.150
1584016441785,2020-03-12T12:34:01.785,0.815,0.137,-0.984,0.148
1584016441805,2020-03-12T12:34:01.805,0.835,0.137,-0.984,0.148
